,IPO name,Offer date,SIC,Ticker,Unit,Offer price,S1Link
0,Stoneco Ltd,20181025,7372,STNE,1,24.0,
1,Anaplan Inc,20181012,7376,PLAN,1,17.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1540755/0001193125-18-274158-index.htm"">sec</a><br>
"
2,Elastic NV,20181005,7379,ESTC,1,36.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1707753/0001193125-18-266861-index.htm"">sec</a><br>
"
3,Upwork Inc,20181003,7374,UPWK,1,15.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1627475/0001193125-18-267594-index.htm"">sec</a><br>
"
4,SVMK Inc,20180926,7374,SVMK,1,12.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1739936/0001193125-18-261892-index.htm"">sec</a><br>
"
5,Farfetch Ltd,20180921,7389,FTCH,1,20.0,
6,Eventbrite Inc,20180920,7372,EB,1,23.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1475115/0001193125-18-255960-index.htm"">sec</a><br>
"
7,Avalara Inc,20180615,7372,AVLR,1,24.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1348036/0001193125-19-164571-index.htm"">sec</a><br>
"
8,GreenSky Inc,20180524,7389,GSKY,1,23.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1712923/0000930413-18-001566-index.htm"">sec</a><br>
"
9,Pluralsight Inc,20180517,7370,PS,1,15.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1725579/0001628280-19-002420-index.htm"">sec</a><br>
"
10,Dropbox Inc,20180323,7375,DBX,1,21.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1467623/0001193125-18-055809-index.htm"">sec</a><br>
"
11,Bandwidth.com Inc,20171110,7375,BAND,1,20.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1514416/0001193125-17-309873-index.htm"">sec</a><br>
"
12,Forescout Technologies Inc,20171027,3577,FSCT,1,22.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1145057/0001628280-18-003319-index.htm"">sec</a><br>
"
