Name
Cheetah Mobile
Viggle
Sabre Corp
Leju Holdings
Paycom Software
Weibo
Five9
OPower
IMS Health
Grubhub
Rubicon Project
2U.com
Aerohive Networks
Everyday Health
Trinet
King.com
Amber Road
A10 Networks
BorderFree
Q2 Holdings
Paylocity
Castlight Health
Coupons.com
Varonis Systems
NIMBLE STORAGE INC
KOFAX LTD
Care.com
500.COM LTD
SUNGY MOBILE LTD
"ZULILY, INC."
"CHEGG, INC"
MAVENIR SYSTEMS INC
"TWITTER, INC."
WIX.COM LTD.
BARRACUDA NETWORKS INC
58.COM INC.
CRITEO S.A.
VOXELJET AG
"ABENGOA, S.A."
VEEVA SYSTEMS INC
VIOLIN MEMORY INC
RINGCENTRAL INC
COVISINT CORP
"FIREEYE, INC."
ROCKET FUEL INC.
"BENEFITFOCUS,INC."
CVENT INC
MIX TELEMATICS LTD
INTREXON CORP
FOX FACTORY HOLDING CORP
YUME INC
CONTROL4 CORP
"XG TECHNOLOGY, INC."
"RETAILMENOT, INC."
TREMOR VIDEO INC.
CDW CORP
NANOSTRING TECHNOLOGIES INC
GOGO INC.
GIGAMON INC.
TEXTURA CORP
CHANNELADVISOR CORP
"MARKETO, INC."
TABLEAU SOFTWARE INC
"UBIC, INC."
CYAN INC
QIWI
RALLY SOFTWARE DEVELOPMENT CORP
"EVERTEC, INC."
MARIN SOFTWARE INC
WEST CORP
"MODEL N, INC."
SILVER SPRING NETWORKS INC
XOOM CORP
CYRUSONE INC.
SOLARCITY CORP
YY INC.
RUCKUS WIRELESS INC
"WORKDAY, INC."
"SHUTTERSTOCK, INC."
AMBARELLA INC
"LIFELOCK, INC."
"QUALYS, INC."
"TRULIA, INC."
PEREGRINE SEMICONDUCTOR CORP
"ELOQUA, INC."
E2OPEN INC
PALO ALTO NETWORKS INC
KAYAK SOFTWARE CORP
"VAPORIN, INC."
"SERVICENOW, INC."
EXA CORP
FACEBOOK INC
AUDIENCE INC
ENVIVIO INC
PROOFPOINT INC
INFOBLOX INC
SPLUNK INC
MILLENNIAL MEDIA INC.
CAFEPRESS INC.
"VOCERA COMMUNICATIONS, INC."
VIPSHOP HOLDINGS LTD
"EXACTTARGET, INC."
"VANTIV, INC."
DEMANDWARE INC
"MOJO DATA SOLUTIONS, INC."
YELP INC
BAZAARVOICE INC
BRIGHTCOVE INC
"SYNACOR, INC."
"GUIDEWIRE SOFTWARE, INC."
ZYNGA INC
"JIVE SOFTWARE, INC."
"ANGIE'S LIST, INC."
INVENSENSE INC
IMPERVA INC
"GROUPON, INC."
"UBIQUITI NETWORKS, INC."
TUDOU HOLDINGS LTD
CARBONITE INC
ZILLOW INC
"SKULLCANDY, INC."
TANGOE INC
HOMEAWAY INC
"BANKRATE, INC."
"PANDORA MEDIA, INC."
"FUSION-IO, INC."
"FREESCALE SEMICONDUCTOR, LTD."
ACTIVE NETWORK INC
YANDEX N.V.
LINKEDIN CORP
JETPAY CORP
FRIENDFINDER NETWORKS INC.
JIAYUAN.COM INTERNATIONAL LTD
NQ MOBILE INC.
RENREN INC.
BOINGO WIRELESS INC
"21VIANET GROUP, INC."
RESPONSYS INC
ZIPCAR INC
QIHOO 360 TECHNOLOGY CO LTD
CORNERSTONE ONDEMAND INC
MAGNACHIP SEMICONDUCTOR CORP
MMODAL INC.
EPOCRATES INC
NEOPHOTONICS CORP
INTERXION HOLDING N.V.
BCD SEMICONDUCTOR MANUFACTURING LTD
DEMAND MEDIA INC.
NIELSEN N.V.
ISOFTSTONE HOLDINGS LTD
FLEETCOR TECHNOLOGIES INC
SKY-MOBI LTD
YOUKU TUDOU INC.
E-COMMERCE CHINA DANGDANG INC.
INPHI CORP
MECOX LANE LTD
"NET ELEMENT, INC."
SCIQUEST INC
MAKEMYTRIP LTD
REALPAGE INC
MEDIAMIND TECHNOLOGIES INC.
NXP SEMICONDUCTORS N.V.
"INTRALINKS HOLDINGS, INC."
"ENVESTNET, INC."
GREEN DOT CORP
CAMELOT INFORMATION SYSTEMS INC.
REALD INC.
QLIK TECHNOLOGIES INC
SMART TECHNOLOGIES INC.
TESLA MOTORS INC
PACTERA TECHNOLOGY INTERNATIONAL LTD.
VOLTARI CORPORATION
"BROADSOFT, INC."
"TELENAV, INC."
"CONVIO, INC."
ALPHA & OMEGA SEMICONDUCTOR LTD
REACHLOCAL INC
GLOBAL GEOPHYSICAL SERVICES INC
"ACCRETIVE HEALTH, INC."
SPS COMMERCE INC
MITEL NETWORKS CORP
DYNAVOX INC.
MERU NETWORKS INC
"CALIX, INC"
MAXLINEAR INC
"FINANCIAL ENGINES, INC."
"QUINSTREET, INC"
